State,FiscalYear,InflationDenom,CostOfLiving,ExpensiveSchoolEnrollment,StateSupport,FTEnrollment,SupportPerStudent
New York,2003,0.75,1.15,0.96,3202759500,483616,6622.52593
North Carolina,2003,0.75,0.93,0.98,2370417000,302159,7844.932635
North Dakota,2003,0.75,1,1.12,203454356,34667,5868.819223
Ohio,2003,0.75,1.01,1.04,1968109037,352538,5582.686227
Oklahoma,2003,0.75,0.89,1.01,834694901,128005,6520.799195
Oregon,2003,0.75,1.02,1.04,632473816.5,125808,5027.294103
Pennsylvania,2003,0.75,1.07,1.05,1772844000,315591,5617.536622
Rhode Island,2003,0.75,1.15,0.96,172546294,26887,6417.461747
South Carolina,2003,0.75,0.92,1,986409270,137983,7148.773907
South Dakota,2003,0.75,1.01,1,149665555,28232,5301.273555
Tennessee,2003,0.75,0.91,1.01,1085737400,167634,6476.832862
Texas,2003,0.75,0.89,0.98,4883813876,766342,6372.890793
Utah,2003,0.75,1.01,1.07,610671500,108386,5634.22859
Vermont,2003,0.75,1.12,1.01,64907084,16843,3853.653387
Virginia,2003,0.75,0.96,1.04,1367765964,254694,5370.232373
Washington,2003,0.75,1.05,0.99,1350911000,220677,6121.666508
West Virginia,2003,0.75,0.89,0.99,429256223,67374,6371.244441
Wisconsin,2003,0.75,1.03,1.01,1182207300,209599,5640.328914
Wyoming,2003,0.75,0.97,0.91,193065410,21774,8866.786534
Alabama,2004,0.78,0.9,1.02,1162442056,183167,6346.350904
Alaska,2004,0.78,1.22,1.02,215636000,18802,11468.77992
Arizona,2004,0.78,0.96,1.05,919000072,212980,4314.959489
Arkansas,2004,0.78,0.89,1.01,652754394,96292,6778.905766
California,2004,0.78,1.09,0.94,8462800000,1401271,6039.374254
Colorado,2004,0.78,1.05,1.07,569793185,161181,3535.113847
Connecticut,2004,0.78,1.2,1.02,730867190,70030,10436.48708
Delaware,2004,0.78,0.99,1.23,190568916,29546,6449.905774
Florida,2004,0.78,0.92,1.02,3069614373,499972,6139.572562
Georgia,2004,0.78,0.93,1.06,2286875768,289382,7902.619265
Hawaii,2004,0.78,1.35,1.07,397912000,35441,11227.44844
Idaho,2004,0.78,0.96,0.97,338297254,45184,7487.102824
Illinois,2004,0.78,1.05,0.96,2418805248,385517,6274.185699
Indiana,2004,0.78,1,1.09,1294915900,218122,5936.658842
Iowa,2004,0.78,0.99,1.08,691502472,117664,5876.924735
Kansas,2004,0.78,1,1.01,679154249,110243,6160.520387
Kentucky,2004,0.78,0.9,1.04,1063132000,140056,7590.763695
Louisiana,2004,0.78,0.9,1.03,1230324786,183276,6712.961795
Maine,2004,0.78,1.09,0.95,227249215,34516,6583.880374
Maryland,2004,0.78,1,0.98,1097309836,165502,6630.190789
Massachusetts,2004,0.78,1.22,0.99,874444776,137279,6369.836435
Michigan,2004,0.78,1.03,1.06,1889028600,368600,5124.874118
Minnesota,2004,0.78,1.05,1,1227802000,189848,6467.289621
Mississippi,2004,0.78,0.88,0.97,761522709,115613,6586.825954
Missouri,2004,0.78,1,1,886183266,167742,5283.013592
Montana,2004,0.78,0.95,1.14,150576424,35785,4207.808411
Nebraska,2004,0.78,1.01,1.06,504719315,71310,7077.819591
Nevada,2004,0.78,1.01,0.95,479847698,57219,8386.160157
New Hampshire,2004,0.78,1.15,0.97,111345727,30495,3651.278144
New Jersey,2004,0.78,1.19,0.97,1651270000,201756,8184.490176
New Mexico,2004,0.78,0.95,1.01,702698800,79634,8824.105282
New York,2004,0.78,1.15,0.96,2990893800,489692,6107.704026
North Carolina,2004,0.78,0.93,0.98,2392112000,315159,7590.175118
North Dakota,2004,0.78,1,1.12,200141405,35322,5666.196846
Ohio,2004,0.78,1.01,1.04,1974746187,360835,5472.712423
Oklahoma,2004,0.78,0.89,1.01,761446448,133393,5708.293898
Oregon,2004,0.78,1.02,1.04,585529702,126970,4611.559439
Pennsylvania,2004,0.78,1.07,1.05,1718322000,322665,5325.405606
Rhode Island,2004,0.78,1.15,0.96,177104304,27815,6367.222865
South Carolina,2004,0.78,0.92,1,859937083,143800,5980.090981
South Dakota,2004,0.78,1.01,1,153592900,28154,5455.455708
Tennessee,2004,0.78,0.91,1.01,1073505180,169613,6329.144464
Texas,2004,0.78,0.89,0.98,5097099242,799142,6378.214688
Utah,2004,0.78,1.01,1.07,611110900,108636,5625.307449
